DersKodu;DersAdi;DersiVeren;DersUzunluk;AKTS;OgrSayisi;AcildigiProgram;Donem
MF-USS-50-50-KREDÝ;Giriþimcilik II;Prof.Dr. Recep SADELER;2;3;15;Makine Mühendisliði Programý;8
MMS-412-50-50;Tahribatsýz Malzeme Muayenesi;Prof.Dr. Ayhan ÇELÝK;3;6;12;Makine Mühendisliði Programý;8
MMS-412-50-50;Buhar Kazanlarý;Dr. Öðr. Üyesi Fadime ÞÝMÞEK;3;4;5;Makine Mühendisliði Programý;8
MKM-206-50-50;Akýþkanlar Mekaniði I;Dr. Öðr. Üyesi Ahmet Numan ÖZAKIN;3;4;52;Makine Mühendisliði Programý;4
MKM-208-50-50;Mukavemet II;Prof. Hamit AKBULUT;3;4;80;Makine Mühendisliði Programý;4
MUH-SAY-50-50a;Sayýsal Yöntemler;Prof.Dr. Ömer GÜNDOÐDU;3;4;40;Makine Mühendisliði Programý;4
MKM-102-50-50-AKTS;Statik;Dr. Öðr. Üyesi Yakup UZUN;3;5;67;Makine Mühendisliði Programý;2
MM-102-50-50-KREDÝ;Statik;Prof.Dr. Hikmet ALTUN;3;5;4;Makine Mühendisliði Programý;2
MKM-210-50-50;Ýmal Usulleri I;Prof.Dr. Mehmet KARAKAN;3;5;62;Makine Mühendisliði Programý;4
MM-210-50-50;Ýmal Usulleri I;Prof.Dr. Mehmet KARAKAN;3;NULL;5;Makine Mühendisliði Programý;4
MUH-EKO-50-50-AKTS;Mühendislik Ekonomisi;Dr. Öðr. Üyesi Nesrin ADIGÜZEL;2;3;40;Makine Mühendisliði Programý;6
MKM-302-50-50;Makine Elemanlarý II;Doç.Dr. Halim KOVACI;3;5;47;Makine Mühendisliði Programý;6
MKM-304-50-50;Isý Transferi II;Dr. Öðr. Üyesi Faruk YEÞÝLDAL;3;5;58;Makine Mühendisliði Programý;6
MKM-308-50-50-AKTS;Isýtma Havalandýrma ve Ýklimlendirme;Dr. Öðr. Üyesi Nesrin ADIGÜZEL;3;5;77;Makine Mühendisliði Programý;6
MM-302-50-50;Makina Elemanlarý II;Prof.Dr. Sadri ÞEN;3;0;17;Makine Mühendisliði Programý;6
MM-308-50-50-KREDÝ;Isýtma Havalandýrma ve Ýklimlendirme;Dr. Öðr. Üyesi Nesrin ADIGÜZEL;3;5;12;Makine Mühendisliði Programý;6
MM-304-50-50;Isý Transferi II;Dr. Öðr. Üyesi Faruk YEÞÝLDAL;3;NULL;14;Makine Mühendisliði Programý;6
MF-EKO-50-50;Mühendislik Ekonomisi;Dr. Öðr. Üyesi Nesrin ADIGÜZEL;3;5;10;Makine Mühendisliði Programý;6
MMS-310-50-50;Algoritma Geliþtirme Programlama;Prof.Dr. Sadri ÞEN;3;4;6;Makine Mühendisliði (Ý.Ö.) Programý;6
MMS-310-50-50;Hidrolik Pnomatik Sistemler;Prof.Dr. Kenan YAKUT;3;4;13;Makine Mühendisliði (Ý.Ö.) Programý;6
MMS-412-50-50;Tahribatsýz Malzeme Muayenesi;Prof.Dr. Ayhan ÇELÝK;3;6;15;Makine Mühendisliði (Ý.Ö.) Programý;8
MMS-412-50-50;Buhar Kazanlarý;Dr. Öðr. Üyesi Fadime ÞÝMÞEK;3;4;4;Makine Mühendisliði (Ý.Ö.) Programý;8
MKS-302-50-50;Hidrolik Pnomatik Sistemler;Prof.Dr. Kenan YAKUT;3;5;15;Makine Mühendisliði (Ý.Ö.) Programý;6
MKS-302-50-50;Algoritma Geliþtirme ve Programlama;Prof.Dr. Sadri ÞEN;3;5;18;Makine Mühendisliði (Ý.Ö.) Programý;6
MKS-402-50-50;Tahribatsýz Malzeme Muayenesi;Prof.Dr. Ayhan ÇELÝK;3;5;9;Makine Mühendisliði (Ý.Ö.) Programý;8
MKS-402-50-50;Buhar Kazanlarý;Dr. Öðr. Üyesi Fadime ÞÝMÞEK;3;5;7;Makine Mühendisliði (Ý.Ö.) Programý;8
MF-TEK-50-50-KREDÝ;Mühendislikte Ýmalat Teknolojileri;Prof.Dr. Mehmet KARAKAN;3;4;1;Makine Mühendisliði (Ý.Ö.) Programý;8
MUH-TEK-50-50-AKTS;Mühendislikte Ýmalat Teknolojileri;Prof.Dr. Mehmet KARAKAN;3;4;20;Makine Mühendisliði (Ý.Ö.) Programý;8
IMS-202-50-50-KREDÝ;Yapýlarýn Yalýtým ve Korunmasý;Dr. Öðr. Üyesi Fatma KARAGÖL;3;4;1;Ýnþaat Mühendisliði Programý;4
INS-202-50-50-AKTS;Ulaþtýrma Planlamasýna Giriþ;Prof.Dr. Ahmet TORTUM;3;4;45;Ýnþaat Mühendisliði Programý;4
INS-202-50-50-AKTS;Yapýlarýn Yalýtým ve Korunmasý;Dr. Öðr. Üyesi Fatma KARAGÖL;3;4;45;Ýnþaat Mühendisliði Programý;4
IMS-402-50-50-KREDÝ;Hasar Gören Yapýlarýn Güçlendirilmesi;Prof.Dr. Abdulkadir Cüneyt AYDIN;3;4;3;Ýnþaat Mühendisliði Programý;8
IMS-402-50-50-KREDÝ;Özel Betonlar;Doç.Dr. Meral OLTULU;3;4;3;Ýnþaat Mühendisliði Programý;8
INS-402-50-50-AKTS;Hasar Gören Yapýlarýn Güçlendirilmesi;Prof.Dr. Abdulkadir Cüneyt AYDIN;3;4;7;Ýnþaat Mühendisliði Programý;8
INS-402-50-50-AKTS;Özel Betonlar;Doç.Dr. Meral OLTULU;3;4;6;Ýnþaat Mühendisliði Programý;8
KMS-202-50-50 ;Korozyon ve Korunma;Prof.Dr. Fatih DEMÝR;3;0;2;Kimya Mühendisliði Programý;4
KMS-202-50-50;Korozyon ve Korunma;Prof.Dr. Fatih DEMÝR;3;4;18;Kimya Mühendisliði Programý;4
KMS-302-50-50;Su Kirliliði ve Kontrolü;Doç.Dr. Tuba Hatice DOÐAN;3;0;5;Kimya Mühendisliði Programý;6
